IPC_section_number,easy_question,hard_question
470,"[""EasyQuestionForSection470"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection470"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
471,"[""EasyQuestionForSection471"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection471"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
472,"[""EasyQuestionForSection472"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection472"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
473,"[""EasyQuestionForSection473"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection473"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
474,"[""EasyQuestionForSection474"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection474"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
475,"[""EasyQuestionForSection475"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection475"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
476,"[""EasyQuestionForSection476"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection476"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
477,"[""EasyQuestionForSection477"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection477"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
478,"[""EasyQuestionForSection478"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection478"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
479,"[""EasyQuestionForSection479"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection479"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
480,"[""EasyQuestionForSection480"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection480"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
481,"[""EasyQuestionForSection481"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection481"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
482,"[""EasyQuestionForSection482"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection482"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
483,"[""EasyQuestionForSection483"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection483"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
484,"[""EasyQuestionForSection484"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection484"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
485,"[""EasyQuestionForSection485"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection485"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
486,"[""EasyQuestionForSection486"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection486"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
487,"[""EasyQuestionForSection487"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection487"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
488,"[""EasyQuestionForSection488"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection488"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
489,"[""EasyQuestionForSection489"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection489"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
490,"[""EasyQuestionForSection490"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection490"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
491,"[""EasyQuestionForSection491"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection491"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
492,"[""EasyQuestionForSection492"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection492"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
493,"[""EasyQuestionForSection493"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection493"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
494,"[""EasyQuestionForSection494"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection494"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
495,"[""EasyQuestionForSection495"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection495"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
496,"[""EasyQuestionForSection496"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection496"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
497,"[""EasyQuestionForSection497"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection497"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
498,"[""EasyQuestionForSection498"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection498"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
499,"[""EasyQuestionForSection499"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection499"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
500,"[""EasyQuestionForSection500"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection500"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
501,"[""EasyQuestionForSection501"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection501"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
502,"[""EasyQuestionForSection502"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection502"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
503,"[""EasyQuestionForSection503"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection503"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
